Persoon,Price_range,Reviews,Discount,Categorie,Koopt_product
A,Laag,Goed,Ja,Elektronica,Ja
B,Laag,Goed,Nee,Elektronica,Ja
C,Laag,Gemiddeld,Ja,Kleding,Ja
D,Laag,Gemiddeld,Nee,Kleding,Ja
E,Laag,Slecht,Ja,Boeken,Nee
F,Laag,Slecht,Nee,Boeken,Nee
G,Middel,Goed,Ja,Elektronica,Ja
H,Middel,Goed,Nee,Elektronica,Ja
I,Middel,Gemiddeld,Ja,Kleding,Ja
J,Middel,Gemiddeld,Nee,Kleding,Nee
K,Middel,Slecht,Ja,Boeken,Nee
L,Middel,Slecht,Nee,Boeken,Nee
M,Hoog,Goed,Ja,Elektronica,Ja
N,Hoog,Goed,Nee,Elektronica,Nee
O,Hoog,Gemiddeld,Ja,Kleding,Nee
P,Hoog,Gemiddeld,Nee,Kleding,Nee
Q,Hoog,Slecht,Ja,Boeken,Nee
R,Hoog,Slecht,Nee,Boeken,Nee
S,Laag,Goed,Ja,Boeken,Ja
T,Middel,Gemiddeld,Nee,Boeken,Nee
